Taxon,MorphogroupID,CladeID,SpecimenID,HerbariumSheetID,Elevation,Latitude,Longitude,LAMLEN,LAMWID,PEDLEN,OVALEN,CALYTUBLEN,CALLOBLEN,PETLEN,PETWID,FILLEN,STYLEN
paniculata,19,III,FZ272,MOUNM_FZ272,2432,-16.27638889,-67.79222222,70.67,21.33,2.93,1.17,0.59,0.21,3.4,1.75,2.47,1.6
paniculata,19,III,EK20578,GH_EK20578,2800,7.383611111,-72.56305556,82,28.5,2.33,1.45,0.67,0.25,3.32,1.57,1.85,1.55
paniculata,19,III,FZ269,MOUNM_FZ269,2950,-16.31508333,-67.81222222,77.67,22.67,2.47,1.4,0.56,0.23,3.31,1.58,2.42,2.38
paniculata,19,III,Hv8197,MO3507020,2250,8.25,-71.55,64.33,18.67,1.1,1.02,0.29,0.19,3.31,1.62,1.86,1.76
paniculata,19,III,AG48084,MO3200527,2250,3.533333333,-76.6,64.33,27.17,2.43,1.4,0.59,0.2,3.27,2.06,2,1.9
paniculata,19,III,JP2912,MOUNM_JP2912,2002,-5.0925,-78.83944444,112,22.33,2.82,1.12,0.59,0.2,3.2,1.63,2.38,2
paniculata,19,III,JS10701,MO3218581,3000,-16.3,-67.81666667,90,29.2,2.3,1.01,0.66,0.21,3.2,1.55,2.32,1.23
paniculata,19,III,MW2000/891,F2229337,2200,-6.210277778,-77.71583333,90.33,25,3.48,1.15,0.57,0.22,3.13,1.9,2.2,1.8
paniculata,19,III,FZ270,MOUNM_FZ270,2790,-16.28611111,-67.80669444,77.67,26,2.27,1.33,0.49,0.15,3.07,1.63,3.05,2.62
paniculata,19,III,KY4092,F1980640,2300,-7,-77,87.67,25,3.09,1.22,0.51,0.3,3.04,1.55,2.12,1.8
paniculata,19,III,DN14917,MOUNM_DN14917,1900,-3.966666667,-79.06666667,69.33,22.33,3.12,1.25,0.55,0.2,3,1.73,2.6,2
paniculata,19,III,MD2620,MO3045849,1950,-9.55,-75.98333333,91.33,23,2.31,0.77,0.35,0.22,2.65,1.34,1.74,1.57
paniculata,19,III,RV25391,MO5863483,1500,-6.377222222,-77.50777778,111,28.83,3.19,0.97,0.42,0.26,2.51,1.55,2,1.75
